コード,Cluster_From,Cluster_To,Period
1301,0,0,2010-2011
1332,3,3,2010-2011
1375,0,0,2010-2011
1376,2,4,2010-2011
1377,2,2,2010-2011
1379,2,2,2010-2011
1380,0,0,2010-2011
1381,4,4,2010-2011
1382,4,4,2010-2011
1383,0,0,2010-2011
1401,4,4,2010-2011
1407,0,0,2010-2011
1414,2,2,2010-2011
1491,1,1,2010-2011
1514,0,0,2010-2011
1515,3,3,2010-2011
1518,3,3,2010-2011
1605,3,3,2010-2011
1662,2,2,2010-2011
1712,0,0,2010-2011
1716,4,4,2010-2011
1717,1,4,2010-2011
1718,0,0,2010-2011
1719,3,3,2010-2011
1720,3,3,2010-2011
1721,2,3,2010-2011
1723,4,2,2010-2011
1724,0,0,2010-2011
1726,0,0,2010-2011
1736,4,2,2010-2011
1743,1,0,2010-2011
1758,4,4,2010-2011
1762,2,2,2010-2011
1764,0,0,2010-2011
1766,2,2,2010-2011
1768,4,4,2010-2011
1770,2,2,2010-2011
1776,4,4,2010-2011
1780,4,4,2010-2011
1787,4,4,2010-2011
1788,4,4,2010-2011
1793,2,2,2010-2011
1795,0,0,2010-2011
1798,1,0,2010-2011
1799,2,2,2010-2011
1801,3,3,2010-2011
1802,3,3,2010-2011
1803,3,3,2010-2011
1807,0,0,2010-2011
1808,3,3,2010-2011
1810,2,2,2010-2011
1811,3,1,2010-2011
1812,3,3,2010-2011
1813,0,1,2010-2011
1814,0,0,2010-2011
1815,3,3,2010-2011
1820,3,3,2010-2011
1821,3,3,2010-2011
1822,2,2,2010-2011
1826,1,0,2010-2011
1827,3,3,2010-2011
1828,0,0,2010-2011
1833,3,3,2010-2011
1835,2,2,2010-2011
1840,4,4,2010-2011
1841,4,4,2010-2011
1844,1,1,2010-2011
1847,0,0,2010-2011
1848,0,0,2010-2011
1850,0,0,2010-2011
1852,3,3,2010-2011
1853,0,0,2010-2011
1860,3,3,2010-2011
1861,3,3,2010-2011
1866,0,2,2010-2011
1867,0,0,2010-2011
1870,3,3,2010-2011
1871,3,0,2010-2011
1873,0,0,2010-2011
1878,2,3,2010-2011
1879,2,2,2010-2011
1882,3,3,2010-2011
1885,3,3,2010-2011
1887,3,2,2010-2011
1888,0,0,2010-2011
1890,3,3,2010-2011
1893,3,3,2010-2011
1897,2,4,2010-2011
1898,0,0,2010-2011
1899,3,3,2010-2011
1904,2,2,2010-2011
1905,2,1,2010-2011
1909,0,0,2010-2011
1911,3,3,2010-2011
1914,4,1,2010-2011
1921,0,0,2010-2011
1925,3,3,2010-2011
1926,0,3,2010-2011
1928,3,3,2010-2011
1929,0,0,2010-2011
1930,4,2,2010-2011
1934,3,3,2010-2011
1938,0,2,2010-2011
1939,0,3,2010-2011
1941,2,2,2010-2011
1942,3,3,2010-2011
1944,3,3,2010-2011
1945,2,2,2010-2011
1946,3,3,2010-2011
1948,0,1,2010-2011
1949,3,3,2010-2011
1950,2,2,2010-2011
1951,2,3,2010-2011
1952,0,0,2010-2011
1959,3,3,2010-2011
1960,2,2,2010-2011
1961,3,2,2010-2011
1963,3,3,2010-2011
1964,0,3,2010-2011
1965,2,2,2010-2011
1966,0,0,2010-2011
1967,4,0,2010-2011
1968,2,2,2010-2011
1969,2,2,2010-2011
1972,4,4,2010-2011
1975,0,3,2010-2011
1976,0,0,2010-2011
1979,3,3,2010-2011
1980,3,3,2010-2011
1981,4,2,2010-2011
1982,2,2,2010-2011
1992,4,1,2010-2011
1994,1,1,2010-2011
1997,4,4,2010-2011
2001,3,3,2010-2011
2002,3,3,2010-2011
2003,2,2,2010-2011
2004,3,3,2010-2011
2009,2,2,2010-2011
2053,0,0,2010-2011
2055,2,2,2010-2011
2108,0,2,2010-2011
2109,2,2,2010-2011
2112,0,0,2010-2011
2114,0,0,2010-2011
2120,4,4,2010-2011
2121,4,2,2010-2011
2122,4,4,2010-2011
2124,4,4,2010-2011
2127,4,4,2010-2011
2130,1,4,2010-2011
2134,0,0,2010-2011
2136,1,4,2010-2011
2138,4,4,2010-2011
2139,1,0,2010-2011
2146,0,0,2010-2011
2148,4,4,2010-2011
2150,4,1,2010-2011
2152,4,4,2010-2011
2153,2,1,2010-2011
2154,4,4,2010-2011
2156,1,0,2010-2011
2157,0,0,2010-2011
2158,1,4,2010-2011
2160,1,1,2010-2011
2162,4,0,2010-2011
2163,1,4,2010-2011
2164,4,4,2010-2011
2168,3,3,2010-2011
2169,4,4,2010-2011
2170,4,4,2010-2011
2173,1,4,2010-2011
2175,4,4,2010-2011
2179,0,0,2010-2011
2180,1,0,2010-2011
2181,3,3,2010-2011
2183,4,1,2010-2011
2185,4,4,2010-2011
2186,4,4,2010-2011
2193,4,4,2010-2011
2195,1,0,2010-2011
2196,1,0,2010-2011
2198,0,0,2010-2011
2201,2,3,2010-2011
2204,2,2,2010-2011
2206,3,3,2010-2011
2207,0,0,2010-2011
2208,3,3,2010-2011
2209,0,0,2010-2011
2211,1,3,2010-2011
2212,3,3,2010-2011
2215,0,0,2010-2011
2216,0,4,2010-2011
2217,0,4,2010-2011
2220,0,0,2010-2011
2221,4,4,2010-2011
2222,0,0,2010-2011
2224,0,0,2010-2011
2226,4,4,2010-2011
2229,3,2,2010-2011
2264,3,3,2010-2011
2266,0,2,2010-2011
2267,3,3,2010-2011
2268,4,4,2010-2011
2269,3,3,2010-2011
2270,3,3,2010-2011
2281,3,3,2010-2011
2286,0,1,2010-2011
2288,3,3,2010-2011
2291,0,0,2010-2011
2292,0,3,2010-2011
